PONNOT;SUB;CTMT
27707914;27335510;27117495
27707916;27335510;27117499
27707908;27335510;27117498
27707912;27335510;27117497
27707913;27335510;27117500
27707915;27335510;27117496
27707910;27335510;27117503
27863766;27335511;27117511
27863892;27335511;27117510
27864057;27335511;27117515
27864056;27335511;27117509
27756416;27335511;27117512
80345555;27335511;80345446
27708175;27335511;80345444
27708176;27335511;80345445
27803650;27335511;27117508
27807944;27335511;27117513
27760710;27335511;27117507
27777886;27335511;27117514
80345546;27335511;80345447
27707553;27335513;27117484
27707554;27335513;27117483
27707766;27335508;27117493
27707767;27335508;27117492
27707665;27335509;27117488
27707668;27335509;27117485
27707671;27335509;27117486
27707667;27335509;27117490
27707666;27335509;27117489
27707670;27335509;27117487
